Mouse genes	Human genes
Ctrb1	CTRB1
Kars	KARS
Ldhd	LDHD
Mlkl	MLKL
Mon1b	MON1B
Nudt7	NUDT7
Rfwd3	RFWD3
Syce1l	SYCE1L
Terf2ip	TERF2IP
Tmem170	TMEM170A
Tmem231	TMEM231
Vat1l	VAT1L
Wdr59	WDR59
Zfp1	ZFP1
Znrf1	ZNRF1
Atmin	ATMIN
Bcmo1	BCMO1
1700030J22Rik	C16orf46
2310061C15Rik	C16orf61
Cdyl2	CDYL2
Cenpn	CENPN
Gcsh	GCSH
Pkd1l2	PKD1L2
Cdh13	CDH13
Dynlrb2	DYNLRB2
Hsbp1	HSBP1
Hsdl1	HSDL1
Mphosph6	MPHOSPH6
Necab2	NECAB2
Osgin1	OSGIN1
Sdr42e1	SDR42E1
Slc38a8	SLC38A8
Wwox	WWOX
Aprt	APRT
Banp	BANP
1300018I17Rik	C16orf7
Cbfa2t3	CBFA2T3
Cdk10	CDK10
Cox4nb	COX4NB
Cyba	CYBA
Foxf1a	FOXF1
Foxl1	FOXL1
Il17c	IL17C
Mbtps1	MBTPS1
Mlycd	MLYCD
Spire2	SPIRE2
Taf1c	TAF1C
Gm22	ZNF469
Adad2	ADAD2
Atp2c2	ATP2C2
1190005I06Rik	C16orf74
Cotl1	COTL1
Cox4i1	COX4I1
Crispld2	CRISPLD2
Lrrc50	DNAAF1
Fam92b	FAM92B
Foxc2	FOXC2
Gan	GAN
Gins2	GINS2
Hsd17b2	HSD17B2
Irf8	IRF8
Kcng4	KCNG4
Gse1	KIAA0182
6430548M08Rik	KIAA0513
4632415K11Rik	KIAA1609
Klhl36	KLHL36
Mthfsd	MTHFSD
Plcg2	PLCG2
Usp10	USP10
Zdhhc7	ZDHHC7
Fbxo31	FBXO31
Map1lc3b	MAP1LC3B
Zc3h18	ZC3H18
Zcchc14	ZCCHC14
Zfpm1	ZFPM1
Acsf3	ACSF3
Afg3l1	AFG3L1P
Ankrd11	ANKRD11
4732415M23Rik	C16orf55
Car5a	CA5A
Cdh15	CDH15
Cdt1	CDT1
Chmp1a	CHMP1A
Cpne7	CPNE7
Ctu2	CTU2
Dbndd1	DBNDD1
Def8	DEF8
Dpep1	DPEP1
Fanca	FANCA
Galns	GALNS
Gas8	GAS8
Jph3	JPH3
Klhdc4	KLHDC4
Hpvc1	LOC100128612
Mc1r	MC1R
9330133O14Rik	MGC23284
Mvd	MVD
Pabpn1l	PABPN1L
Fam38a	PIEZO1
Rnf166	RNF166
Rpl13	RPL13
Slc7a5	SLC7A5
Snai3	SNAI3
Snord68	SNORD68
Spata2l	SPATA2L
Spg7	SPG7
Tcf25	TCF25
Trappc2l	TRAPPC2L
Tubb3	TUBB3
Wfdc1	WFDC1
Zfp276	ZNF276
Abca17	ABCA17P
1700018B08Rik	C16orf95
4930488L21Rik	DKFZP434H168
Gm5737	LOC100288072
Prss27	PRSS27
Eno3	ENO3
Gp1ba	GP1BA
Abr	ABR
Alox15	ALOX15
Ankfy1	ANKFY1
Aspa	ASPA
Atp2a3	ATP2A3
Bhlha9	BHLHA9
1700016K19Rik	C17orf97
C1qbp	C1QBP
Crk	CRK
Dbil5	DBIL5P
Doc2b	DOC2B
Dph1	DPH1
Fam57a	FAM57A
Glod4	GLOD4
Glp2r	GLP2R
Hic1	HIC1
Inpp5k	INPP5K
1300001I01Rik	KIAA0664
Mettl16	METTL16
2210403K04Rik	MIR22HG
Mnt	MNT
Mybbp1a	MYBBP1A
Myo1c	MYO1C
Nxn	NXN
Olfr43	OR1A1
Olfr20	OR1E1
Olfr376	OR1E2
Olfr1377	OR1G1
Olfr410	OR3A1
Olfr402	OR3A2
Olfr411	OR3A3
Olfr399	OR3A4P
Ovca2	OVCA2
P2rx1	P2RX1
P2rx5	P2RX5
Pafah1b1	PAFAH1B1
Pfn1	PFN1
Pitpna	PITPNA
Prpf8	PRPF8
Rap1gap2	RAP1GAP2
Rilp	RILP
Rnmtl1	RNMTL1
Rpa1	RPA1
Rph3al	RPH3AL
Rtn4rl1	RTN4RL1
Scarf1	SCARF1
Serpinf1	SERPINF1
Sgsm2	SGSM2
Slc25a11	SLC25A11
Slc43a2	SLC43A2
Smg6	SMG6
Smyd4	SMYD4
Snord91a	SNORD91A
Spata22	SPATA22
Tlcd2	TLCD2
Tm4sf5	TM4SF5
Tsr1	TSR1
Tusc5	TUSC5
Vps53	VPS53
Wdr81	WDR81
Ywhae	YWHAE
Asgr1	ASGR1
4930544D05Rik	C17orf107
1200014J11Rik	C17orf85
Camkk1	CAMKK1
Camta2	CAMTA2
Chrne	CHRNE
Cyb5d2	CYB5D2
Derl2	DERL2
Dhx33	DHX33
Fam64a	FAM64A
Ggt6	GGT6
Gltpd2	GLTPD2
Inca1	INCA1
Kif1c	KIF1C
6330403K07Rik	LOC728392
Med11	MED11
Mink1	MINK1
Mis12	MIS12
Nlrp1a	NLRP1
Nup88	NUP88
Pelp1	PELP1
Pigs	PIGS
Rabep1	RABEP1
Rnf167	RNF167
Rpain	RPAIN
A430084P05Rik	SCIMP
Slc13a2	SLC13A2
Smtnl2	SMTNL2
Spag7	SPAG7
Spns2	SPNS2
Spns3	SPNS3
Tmem93	TMEM93
Trpv1	TRPV1
Trpv3	TRPV3
Ube2g1	UBE2G1
Vmo1	VMO1
Wscd1	WSCD1
Zfp3	ZFP3
Zmynd15	ZMYND15
Zzef1	ZZEF1
Acadvl	ACADVL
Acap1	ACAP1
Aipl1	AIPL1
Alox12	ALOX12
Alox12b	ALOX12B
Alox8	ALOX15B
Aloxe3	ALOXE3
Arhgef15	ARHGEF15
Atp1b2	ATP1B2
Aurkb	AURKB
Bcl6b	BCL6B
4930563E22Rik	C17orf100
2310004I24Rik	C17orf48
0610010K14Rik	C17orf49
2310047M10Rik	C17orf59
1810027O10Rik	C17orf61
4933402P03Rik	C17orf74
Rai12	C17orf81
Ccdc42	CCDC42
Chrnb1	CHRNB1
Mgl2	CLEC10A
Cntrob	CNTROB
1500010J02Rik	CTC1
Cyb5d1	CYB5D1
Dhrs7c	DHRS7C
Dlg4	DLG4
Dnahc2	DNAH2
Dvl2	DVL2
Efnb3	EFNB3
Fbxo39	FBXO39
Fgf11	FGF11
Fxr2	FXR2
Gabarap	GABARAP
Gas7	GAS7
Gucy2e	GUCY2D
Hes7	HES7
Kcnab3	KCNAB3
Kctd11	KCTD11
Kdm6b	KDM6B
4933427D14Rik	KIAA0753
A030009H04Rik	LOC284023
2810408A11Rik	LOC390760
Gm12302	LOC644070
Lsmd1	LSMD1
Med31	MED31
Mfsd6l	MFSD6L
Mpdu1	MPDU1
Myh1	MYH1
Myh2	MYH2
Myh3	MYH3
Myh4	MYH4
Myh8	MYH8
Ndel1	NDEL1
Nlgn2	NLGN2
Odf4	ODF4
Per1	PER1
Pfas	PFAS
Phf23	PHF23
Pik3r5	PIK3R5
Pik3r6	PIK3R6
Pld2	PLD2
Plscr3	PLSCR3
Polr2a	POLR2A
Rangrf	RANGRF
Rcvrn	RCVRN
Rnasek	RNASEK
Rnf222	RNF222
Sat2	SAT2
Sco1	SCO1
Slc13a5	SLC13A5
Slc16a11	SLC16A11
Slc16a13	SLC16A13
Slc25a35	SLC25A35
Snord118	SNORD118
4933411G11Rik	SPDYE4
Spem1	SPEM1
Tekt1	TEKT1
Tmem102	TMEM102
Tmem107	TMEM107
Tmem220	TMEM220
Tmem88	TMEM88
BC096441	TNFSF12-TNFSF13
Tnfsf13	TNFSF13
Tnk1	TNK1
Trp53	TP53
Trappc1	TRAPPC1
Txndc17	TXNDC17
Usp43	USP43
Vamp2	VAMP2
Wdr16	WDR16
Wrap53	WRAP53
Xaf1	XAF1
Ybx2	YBX2
Zbtb4	ZBTB4
Alox12e	ALOX12P2
Arrb2	ARRB2
Cd68	CD68
Cldn7	CLDN7
Ctdnep1	CTDNEP1
Ctns	CTNS
Cxcl16	CXCL16
Eif4a1	EIF4A1
Eif5a	EIF5A
Fam101b	FAM101B
Gemin4	GEMIN4
Gps2	GPS2
Gsg2	GSG2
Itgae	ITGAE
Myh10	MYH10
Myh13	MYH13
Neurl4	NEURL4
Ntn1	NTN1
Olfr412	OR1D2
Pitpnm3	PITPNM3
Psmb6	PSMB6
Rpl26	RPL26
Senp3	SENP3
Serpinf2	SERPINF2
Shbg	SHBG
Shpk	SHPK
Slc2a4	SLC2A4
Srr	SRR
Tax1bp3	TAX1BP3
Timm22	TIMM22
Tnfsf12	TNFSF12
Sox15	SOX15
Adora2b	ADORA2B
Arhgap44	ARHGAP44
Cox10	COX10
Dhrs7b	DHRS7B
Dnahc9	DNAH9
Fbxw10	FBXW10
Hs3st3a1	HS3ST3A1
Hs3st3b1	HS3ST3B1
Pigl	PIGL
Pirt	PIRT
Pmp22	PMP22
Shisa6	SHISA6
Stx8	STX8
Tekt3	TEKT3
Top3a	TOP3A
Ttc19	TTC19
Ubb	UBB
5730577I03Rik	ZNF29P
Zswim7	ZSWIM7
Aldh3a1	ALDH3A1
Aldh3a2	ALDH3A2
Alkbh5	ALKBH5
Atpaf2	ATPAF2
B9d1	B9D1
Gm16515	C17orf103
4933439F18Rik	C17orf39
Cenpv	CENPV
Cops3	COPS3
Drg2	DRG2
Elac2	ELAC2
Epn2	EPN2
Fam18b	FAM18B1
BC046404	FAM211A
Fam83g	FAM83G
Flcn	FLCN
Flii	FLII
Git1	GIT1
Grap	GRAP
Kcnj12	KCNJ12
Llgl1	LLGL1
Lrrc48	LRRC48
Map2k4	MAP2K4
Mapk7	MAPK7
Med9	MED9
Mfap4	MFAP4
Mprip	MPRIP
Myo15	MYO15A
Myocd	MYOCD
Ncor1	NCOR1
Nt5m	NT5M
Pemt	PEMT
Pld6	PLD6
Prpsap2	PRPSAP2
Rai1	RAI1
Rasd1	RASD1
Rnf112	RNF112
Gm12918	RPL13P12
Shmt1	SHMT1
Slc47a1	SLC47A1
Slc5a10	SLC5A10
Smcr7	SMCR7
Smcr8	SMCR8
Snord49a	SNORD49A
Snord49b	SNORD49B
Snord65	SNORD65
Specc1	SPECC1
Srebf1	SREBF1
Tmem11	TMEM11
Tnfrsf13b	TNFRSF13B
Tom1l2	TOM1L2
Trim16	TRIM16
Trpv2	TRPV2
Ulk2	ULK2
Usp22	USP22
Zkscan6	ZNF18
Zfp286	ZNF286A
Zfp287	ZNF287
Akap10	AKAP10
Asgr2	ASGR2
Aldoc	ALDOC
Chd3	CHD3
Hnf1b	HNF1B
Mmd	MMD
Pnmt	PNMT
Polg2	POLG2
Rab34	RAB34
Rpl23	RPL23
Casc3	CASC3
Cltc	CLTC
Flot2	FLOT2
Foxn1	FOXN1
Gosr1	GOSR1
Hsd17b1	HSD17B1
Lasp1	LASP1
Myo1d	MYO1D
Rad51l3	RAD51D
Sarm1	SARM1
Snord42a	SNORD42A
Snord42b	SNORD42B
Snord4a	SNORD4A
Stard3	STARD3
Traf4	TRAF4
Vtn	VTN
Ksr1	KSR1
Nek8	NEK8
Taf15	TAF15
Wsb1	WSB1
Abhd15	ABHD15
Adap2	ADAP2
Ankrd13b	ANKRD13B
Ap2b1	AP2B1
Atad5	ATAD5
Blmh	BLMH
1810012P15Rik	C17orf108
BC017647	C17orf63
5730455P16Rik	C17orf75
2410022L05Rik	C17orf79
Ccl2	CCL2
Ccl5	CCL5
Ccl7	CCL7
Cdk5r1	CDK5R1
Coro6	CORO6
Cpd	CPD
Crlf3	CRLF3
Cryba1	CRYBA1
Csf3	CSF3
Dhrs13	DHRS13
Dnajc7	DNAJC7
Efcab5	EFCAB5
Eral1	ERAL1
Evi2a	EVI2A
Evi2b	EVI2B
Ift20	IFT20
2610507B11Rik	KIAA0100
Lgals9	LGALS9
Lig3	LIG3
Lyzl6	LYZL6
Map2k3	MAP2K3
Myo18a	MYO18A
Nf1	NF1
Nlk	NLK
Nos2	NOS2
Nr1d1	NR1D1
Ccdc55	NSRP1
Nufip2	NUFIP2
Omg	OMG
Phf12	PHF12
Pipox	PIPOX
Poldip2	POLDIP2
Proca1	PROCA1
Psmd11	PSMD11
Rab11fip4	RAB11FIP4
Rab34	RAB34
Rdm1	RDM1
Rhbdl3	RHBDL3
Rhot1	RHOT1
Rnf135	RNF135
Rpl19	RPL19
Gm10132	RPL23A
Sdf2	SDF2
Sebox	SEBOX
Sez6	SEZ6
BC030499	SGK494
Slc46a1	SLC46A1
Slc6a4	SLC6A4
Sost	SOST
Spaca3	SPACA3
Spag5	SPAG5
Ssh2	SSH2
Stat5a	STAT5A
Stat5b	STAT5B
Supt6h	SUPT6H
Suz12	SUZ12
Taok1	TAOK1
1110002N22Rik	TEFM
Thra	THRA
Tiaf1	TIAF1
Tlcd1	TLCD1
Tmem199	TMEM199
Tmem97	TMEM97
Tmem98	TMEM98
Tmigd1	TMIGD1
Trp53i13	TP53I13
Unc119	UNC119
Utp6	UTP6
Zfp207	ZNF207
Aatf	AATF
Accn1	ACCN1
Arhgap23	ARHGAP23
Arl4d	ARL4D
Arl5c	ARL5C
1700020L24Rik	C17orf50
Gm11435	C17orf66
Gm11437	C17orf78
E130012A19Rik	C17orf96
1700001P01Rik	C17orf98
Ccl1	CCL1
Ccl3	CCL3
Ccl4	CCL4
Ccr7	CCR7
Cct6b	CCT6B
Cdk12	CDK12
Cisd3	CISD3
Coasy	COASY
Crhr1	CRHR1
Cwc25	CWC25
Dhrs11	DHRS11
Dusp14	DUSP14
Fbxl20	FBXL20
Fndc8	FNDC8
Gas2l2	GAS2L2
Ggnbp2	GGNBP2
Grb7	GRB7
Igfbp4	IGFBP4
Krt12	KRT12
Krt13	KRT13
Krt14	KRT14
Krt31	KRT31
Krt33a	KRT33A
Krt36	KRT36
Krtap1-3	KRTAP1-1
Krtap1-4	KRTAP1-5
Krtap17-1	KRTAP17-1
Krtap3-1	KRTAP3-1
Krtap3-2	KRTAP3-2
Krtap3-3	KRTAP3-3
Gm11554	KRTAP4-12
Gm11596	KRTAP4-2
Krtap4-16	KRTAP4-3
Krtap4-7	KRTAP4-6
Lhx1	LHX1
Med1	MED1
1810046J19Rik	MIEN1
Mpp2	MPP2
Mrm1	MRM1
Myo19	MYO19
Neurod2	NEUROD2
Nle1	NLE1
Ormdl3	ORMDL3
Pcgf2	PCGF2
Pex12	PEX12
Pgap3	PGAP3
Pigw	PIGW
Pip4k2b	PIP4K2B
Ppp1r1b	PPP1R1B
Psmb3	PSMB3
Ramp2	RAMP2
Rasl10b	RASL10B
Rffl	RFFL
Slc25a39	SLC25A39
Amac1	SLC35G3
Slfn3	SLFN12
Slfn8	SLFN13
Slfn14-ps	SLFN14
Slfn5	SLFN5
Snora21	SNORA21
Snord7	SNORD7
Socs7	SOCS7
Srcin1	SRCIN1
Stac2	STAC2
Synrg	SYNRG
Tada2a	TADA2A
Tcap	TCAP
Tmem132e	TMEM132E
Unc45b	UNC45B
Zfp830	ZNF830
Znhit3	ZNHIT3
Zpbp2	ZPBP2
Acaca	ACACA
Akap1	AKAP1
Aoc2	AOC2
Aoc3	AOC3
Appbp2	APPBP2
Atp6v0a1	ATP6V0A1
Becn1	BECN1
Brca1	BRCA1
C1ql1	C1QL1
Cacnb1	CACNB1
Ccdc56	CCDC56
Cnp	CNP
Cntnap1	CNTNAP1
Ddx5	DDX5
Dlx3	DLX3
Dusp3	DUSP3
Etv4	ETV4
Fmnl1	FMNL1
G6pc	G6PC
Gast	GAST
Gfap	GFAP
Gngt2	GNGT2
Gosr2	GOSR2
Hcrt	HCRT
Hdac5	HDAC5
Ifi35	IFI35
Ikzf3	IKZF3
Jup	JUP
Kat2a	KAT2A
Krt10	KRT10
Map3k14	MAP3K14
Meox1	MEOX1
Mllt6	MLLT6
Myl4	MYL4
Naglu	NAGLU
Ngfr	NGFR
Npepps	NPEPPS
Nsf	NSF
Osbpl7	OSBPL7
Pctp	PCTP
Phb	PHB
Ppy	PPY
Psme3	PSME3
Rara	RARA
Rnd2	RND2
Rpl27	RPL27
Sgca	SGCA
Slc4a1	SLC4A1
Supt4h1	SUPT4H1
Tbx4	TBX4
Tob1	TOB1
Top2a	TOP2A
Tubg1	TUBG1
Tubg2	TUBG2
Vat1	VAT1
Wnk4	WNK4
Wnt3	WNT3
Wnt9b	WNT9B
Ccl11	CCL11
Ccr10	CCR10
Ddx52	DDX52
Erbb2	ERBB2
Ezh1	EZH1
Fzd2	FZD2
Gpr179	GPR179
Gsdma	GSDMA
Krt9	KRT9
Mapt	MAPT
Med24	MED24
Mlx	MLX
Mmp28	MMP28
Msl1	MSL1
Plxdc1	PLXDC1
Psmd3	PSMD3
Pyy	PYY
Rapgefl1	RAPGEFL1
Acly	ACLY
Dhx58	DHX58
Eif1	EIF1
Fam134c	FAM134C
Fkbp10	FKBP10
Ghdc	GHDC
Gjd3	GJD3
Hap1	HAP1
Hoxb13	HOXB13
Hspb9	HSPB9
Kcnh4	KCNH4
Klhl10	KLHL10
Klhl11	KLHL11
Krt15	KRT15
Krt16	KRT16
Krt17	KRT17
Krt19	KRT19
Krt20	KRT20
Krt222	KRT222
Krt23	KRT23
Krt24	KRT24
Krt25	KRT25
Krt26	KRT26
Krt27	KRT27
Krt28	KRT28
Krt32	KRT32
Krt33b	KRT33B
Krt34	KRT34
Krt35	KRT35
Krt39	KRT39
Krt40	KRT40
Krt42	KRT42P
Krtap29-1	KRTAP29-1
Krtap4-1	KRTAP4-11
Gm11563	KRTAP4-7
Gm11555	KRTAP4-9
Krtap9-5	KRTAP9-1
Leprel4	LEPREL4
Mrpl45	MRPL45
Nkiras2	NKIRAS2
Nt5c3l	NT5C3L
Plekhh3	PLEKHH3
Psmc3ip	PSMC3IP
Ptrf	PTRF
Rab5c	RAB5C
Smarce1	SMARCE1
Tns4	TNS4
Ttc25	TTC25
Wipf2	WIPF2
Zfp385c	ZNF385C
Abi3	ABI3
Adam11	ADAM11
Cdc6	CDC6
Gip	GIP
Hoxb1	HOXB1
Hoxb3	HOXB3
Hoxb5	HOXB5
Hoxb6	HOXB6
Hoxb7	HOXB7
Hoxb8	HOXB8
Hoxb9	HOXB9
Mrpl27	MRPL27
Nfe2l1	NFE2L1
Nme1	NME1
Gm5566	NME1-NME2
Nme2	NME2
Ubtf	UBTF
Aarsd1	AARSD1
Acbd4	ACBD4
Arhgap27	ARHGAP27
Asb16	ASB16
Atxn7l3	ATXN7L3
Gm1564	C17orf104
1700006E09Rik	C17orf105
4933400C05Rik	C17orf46
BC030867	C17orf53
Ccdc103	CCDC103
Ccdc43	CCDC43
Cd300lg	CD300LG
Cntd1	CNTD1
Dcakd	DCAKD
Dhx8	DHX8
Eftud2	EFTUD2
Fam171a2	FAM171A2
Fam187a	FAM187A
G6pc3	G6PC3
Gjc1	GJC1
Gpatch8	GPATCH8
Hexim1	HEXIM1
Hexim2	HEXIM2
Higd1b	HIGD1B
4933407P14Rik	IMP5
1700081L11Rik	KIAA1267
Kif18b	KIF18B
Lsm12	LSM12
Mpp3	MPP3
Nags	NAGS
Nbr1	NBR1
Nmt1	NMT1
Plcd3	PLCD3
Plekhm1	PLEKHM1
Rundc1	RUNDC1
Rundc3a	RUNDC3A
Slc39a11	SLC39A11
Stat3	STAT3
Tmem101	TMEM101
Tmem106a	TMEM106A
Tmub2	TMUB2
Vps25	VPS25
Atp5g1	ATP5G1
B4galnt2	B4GALNT2
Gm11639	C17orf57
Calcoco2	CALCOCO2
Cbx1	CBX1
Cdc27	CDC27
Cdk5rap3	CDK5RAP3
Copz2	COPZ2
Grn	GRN
Hoxb2	HOXB2
Hoxb4	HOXB4
Igf2bp1	IGF2BP1
Itga2b	ITGA2B
Itgb3	ITGB3
Myst2	KAT7
Kpnb1	KPNB1
Lrrc46	LRRC46
Mrpl10	MRPL10
Phospho1	PHOSPHO1
Pnpo	PNPO
Prr15l	PRR15L
Rprml	RPRML
Scrn2	SCRN2
Skap1	SKAP1
Snf8	SNF8
Snx11	SNX11
Sp2	SP2
Sp6	SP6
Tbkbp1	TBKBP1
Tbx21	TBX21
Ttll6	TTLL6
Ube2z	UBE2Z
Zfp652	ZNF652
Acsf2	ACSF2
Ankrd40	ANKRD40
Car10	CA10
Chad	CHAD
Col1a1	COL1A1
Dlx4	DLX4
Eme1	EME1
Epn3	EPN3
Fam117a	FAM117A
Hils1	HILS1
Itga3	ITGA3
Lrrc59	LRRC59
Luc7l3	LUC7L3
Mbtd1	MBTD1
Mycbpap	MYCBPAP
Nxph3	NXPH3
Pdk2	PDK2
Ppp1r9b	PPP1R9B
Rsad1	RSAD1
Samd14	SAMD14
Slc35b1	SLC35B1
Spag9	SPAG9
Spata20	SPATA20
Spop	SPOP
Smt3h2-ps2	SUMO2P7
Tac4	TAC4
Gm11544	TMEM92
Utp18	UTP18
Wfikkn2	WFIKKN2
Xylt2	XYLT2
Abcc3	ABCC3
Ankfn1	ANKFN1
Bzrap1	BZRAP1
Gm525	C17orf67
Cacna1g	CACNA1G
Cdk3-ps	CDK3
Coil	COIL
Cox11	COX11
Dgke	DGKE
Dynll2	DYNLL2
Gdpd1	GDPD1
Hlf	HLF
Hsf5	HSF5
Kif2b	KIF2B
Med13	MED13
Mks1	MKS1
Mrps23	MRPS23
Msi2	MSI2
Mtmr4	MTMR4
Nog	NOG
Olfr463	OR4D2
Ppm1e	PPM1E
Prkca	PRKCA
Prr11	PRR11
Rnf43	RNF43
Scpep1	SCPEP1
Sept4	SEPT4
Fam33a	SKA2
1200011M11Rik	SMG8
Smurf2	SMURF2
Srsf1	SRSF1
Stxbp4	STXBP4
Tex14	TEX14
Tmem100	TMEM100
Tnfaip1	TNFAIP1
Vezf1	VEZF1
Ypel2	YPEL2
Brip1	BRIP1
Apoh	APOH
Axin2	AXIN2
Bcas3	BCAS3
Car4	CA4
Cd79b	CD79B
Icam2	ICAM2
Prkar1a	PRKAR1A
Smarcd2	SMARCD2
Sox9	SOX9
Tlk2	TLK2
Dhx40	DHX40
Epx	EPX
Heatr6	HEATR6
1100001G20Rik	LOC645638
Lpo	LPO
Mpo	MPO
Ptrh2	PTRH2
Rnft1	RNFT1
Rps6kb1	RPS6KB1
Tubd1	TUBD1
Vmp1	VMP1
1700125H20Rik	C17orf64
Cuedc1	CUEDC1
Efcab3	EFCAB3
Ints2	INTS2
March10	MARCH10
Mrc2	MRC2
Olfr464	OR4D1
Ppm1d	PPM1D
Tbx2	TBX2
Tk1	TK1
Tom1l1	TOM1L1
Trim25	TRIM25
Trim37	TRIM37
Ace	ACE
Ccdc47	CCDC47
Ccdc45	CEP95
Cyb561	CYB561
Dcaf7	DCAF7
Ddx42	DDX42
Ftsj3	FTSJ3
Kcnh6	KCNH6
Limd2	LIMD2
Map3k3	MAP3K3
Gm885	MILR1
Pecam1	PECAM1
Psmc5	PSMC5
Scn4a	SCN4A
Snord104	SNORD104
Strada	STRADA
Taco1	TACO1
Tanc2	TANC2
Tcam1	TCAM1P
Tex2	TEX2
Usp32	USP32
Abca8b	ABCA8
Acox1	ACOX1
Cacng1	CACNG1
Cacng4	CACNG4
Cacng5	CACNG5
Cdc42ep4	CDC42EP4
Fdxr	FDXR
Galk1	GALK1
Grb2	GRB2
Prpsap1	PRPSAP1
Rgs9	RGS9
Sstr2	SSTR2
Ccdc46	CEP112
Lrrc37a	LRRC37A3
Abca9	ABCA9
Amz2	AMZ2
Arsg	ARSG
1810010H24Rik	C17orf58
Ern1	ERN1
Fam20a	FAM20A
Gh	GH1
Helz	HELZ
Kpna2	KPNA2
Nol11	NOL11
Pitpnc1	PITPNC1
Psmd12	PSMD12
Slc16a6	SLC16A6
Wipi1	WIPI1
Abca5	ABCA5
Abca6	ABCA6
Bptf	BPTF
Gna13	GNA13
Kcnj16	KCNJ16
Kcnj2	KCNJ2
Map2k6	MAP2K6
Aanat	AANAT
Actg1	ACTG1
Atp5h	ATP5H
Baiap2	BAIAP2
Birc5	BIRC5
Card14	CARD14
Cdr3	CDR3
Csnk1d	CSNK1D
Cygb	CYGB
Cyth1	CYTH1
Dnaic2	DNAI2
Evpl	EVPL
Fasn	FASN
Foxk2	FOXK2
Fscn2	FSCN2
Gcgr	GCGR
Gprc5c	GPRC5C
Grin2c	GRIN2C
Hgs	HGS
Itgb4	ITGB4
Jmjd6	JMJD6
Lgals3bp	LGALS3BP
Mfsd11	MFSD11
Mrpl12	MRPL12
Mrps7	MRPS7
P4hb	P4HB
Pde6g	PDE6G
Recql5	RECQL5
Rfng	RFNG
Sectm1a	SECTM1
Sept9	SEPT9
Sirt7	SIRT7
Slc16a3	SLC16A3
Timp2	TIMP2
Trim47	TRIM47
Wbp2	WBP2
Armc7	ARMC7
Btbd17	BTBD17
2210020M01Rik	C17orf109
C630004H02Rik	C17orf28
D11Wsu47e	C17orf80
Caskin2	CASKIN2
Cd300a	CD300A
Cd300c	CD300C
Cd300e	CD300E
Cd300lb	CD300LB
Cd300ld	CD300LD
Cd300lf	CD300LF
Cdr2l	CDR2L
Cog1	COG1
Cpsf4l	CPSF4L
Exoc7	EXOC7
Fads6	FADS6
Fam100b	FAM100B
D11Wsu99e	FAM104A
Fbf1	FBF1
Foxj1	FOXJ1
Gga3	GGA3
Gpr142	GPR142
H3f3b	H3F3B
Hn1	HN1
Ict1	ICT1
Kctd2	KCTD2
2310067B10Rik	KIAA0195
Kif19a	KIF19
Llgl2	LLGL2
1110005A03Rik	METTL23
Mif4gd	MIF4GD
Mxra7	MXRA7
Myo15b	MYO15B
Nat9	NAT9
Nt5c	NT5C
Nup85	NUP85
Otop2	OTOP2
Otop3	OTOP3
Gm11744	PRCD
Qrich2	QRICH2
Rab37	RAB37
Rad51c	RAD51C
Rhbdf2	RHBDF2
Rnf157	RNF157
Rpl38	RPL38
Sap30bp	SAP30BP
Sdk2	SDK2
Slc16a5	SLC16A5
Slc9a3r1	SLC9A3R1
Snord1a	SNORD1A
Snord1b	SNORD1B
Snord1c	SNORD1C
Srp68	SRP68
Srsf2	SRSF2
St6galnac1	ST6GALNAC1
St6galnac2	ST6GALNAC2
Sumo2	SUMO2
Tmem104	TMEM104
Trim65	TRIM65
Tsen54	TSEN54
Ttyh2	TTYH2
Ube2o	UBE2O
Unc13d	UNC13D
Unk	UNK
Ush1g	USH1G
Cd7	CD7
Gaa	GAA
2810008D09Rik	LINC00338
Mgat5b	MGAT5B
Sec14l1	SEC14L1
Sphk1	SPHK1
Aatk	AATK
Afmid	AFMID
Alyref	ALYREF
Anapc11	ANAPC11
Arhgdia	ARHGDIA
Arl16	ARL16
Aspscr1	ASPSCR1
Azi1	AZI1
B3gntl1	B3GNTL1
Bahcc1	BAHCC1
1110031I02Rik	C17orf101
2410002I01Rik	C17orf56
BC017643	C17orf62
2310003H01Rik	C17orf70
1810043H04Rik	C17orf89
1810049H13Rik	C17orf90
C1qtnf1	C1QTNF1
Cant1	CANT1
Cbx2	CBX2
Cbx4	CBX4
Cbx8	CBX8
Ccdc137	CCDC137
Ccdc40	CCDC40
Ccdc57	CCDC57
Chmp6	CHMP6
Dcxr	DCXR
Dnahc17	DNAH17
Dus1l	DUS1L
Eif4a3	EIF4A3
A730011L01Rik	ENDOV
Engase	ENGASE
Enpp7	ENPP7
Fam195b	FAM195B
Dbpht2	FLJ45079
Fn3k	FN3K
Fn3krp	FN3KRP
Galr2	GALR2
Gps1	GPS1
Hexdc	HEXDC
Lrrc45	LRRC45
Mafg	MAFG
Metrnl	METRNL
Mrpl38	MRPL38
Myadml2	MYADML2
Narf	NARF
Notum	NOTUM
Npb	NPB
Nptx1	NPTX1
Pcyt2	PCYT2
Pgs1	PGS1
Ppp1r27	PPP1R27
Pycr1	PYCR1
Rab40b	RAB40B
Rac3	RAC3
Rbfox3	RBFOX3
Rnf213	RNF213
Rptor	RPTOR
Sgsh	SGSH
Slc25a10	SLC25A10
Slc25a19	SLC25A19
Slc26a11	SLC26A11
Slc38a10	SLC38A10
